bookmark_id,bookmark_date,bookmark_title,bookmark_link,bookmark_image,bookmark_note
54,2019-04-19 12:59:20,The Path Made Clear by Oprah,https://www.oprahmag.com/life/a26930708/oprah-path-made-clear/,,
53,2019-04-12 12:57:54,Wildewoman | Mari Madrid x Eileen Fisher [Power Moves You Campaign],https://www.youtube.com/watch?v=y5AZQtQL9VU,,
52,2019-04-04 12:55:30,“Identity” Keone & Mari,https://www.youtube.com/watch?v=O02JZBLJnXQ,,
51,2019-03-16 11:37:46,Ólafur Arnalds - ekki hugsa,https://www.youtube.com/watch?v=eZ4B13ngUrY,,
50,2019-02-21 11:35:46,It Doesn’t Have to Be Crazy at Work by Jason Fried &  David Heinemeier Hansson,https://www.goodreads.com/book/show/41456910-it-doesn-t-have-to-be-crazy-at-work,,
49,2019-02-11 11:32:46,Maggie Rogers covers The xx 'Say Something Loving' for Like A Version,https://www.youtube.com/watch?v=B9QfhyAEVt0,,
48,2019-02-11 11:31:45,Lizzo Creates the Playlist to Her Life | Teen Vogue,https://www.youtube.com/watch?v=sHU2VD6j72I,,
47,2019-02-03 11:29:40,HBR's 10 Must Reads on Women and Leadership,https://store.hbr.org/product/hbr-s-10-must-reads-on-women-and-leadership-with-bonus-article-sheryl-sandberg-the-hbr-interview/10231,,
46,2019-01-30 11:27:53,HONNE - Location Unknown ◐ (Brooklyn Session),https://www.youtube.com/watch?v=btIQvYcLNoI,,
45,2019-01-26 11:26:43,Susan Cain — How to Overcome Fear and Embrace Creativity (#357) | Tim Ferriss,https://tim.blog/2019/01/24/susan-cain/,,
44,2019-01-22 11:25:28,Mitski - Two Slow Dancers (Live on KEXP),https://www.youtube.com/watch?v=EICoe9gfR0A,,
43,2018-12-13 11:23:48,Dare to Lead by Brené Brown,https://www.goodreads.com/book/show/40109367-dare-to-lead,,
42,2018-11-03 13:20:52,The Reductive Seduction of Other People’s Problems,https://www.lensshift.org/library/the-reductive-seduction-of-other-people-s-problems,,
41,2018-10-27 13:19:40,"Kevin Kelly, photographing and backpacking through Asia in the 1970s — On Margins",https://craigmod.com/onmargins/003/,,
40,2018-10-27 13:18:14,10 Learnings from 10 Years of Brain Pickings,https://www.brainpickings.org/2016/10/23/10-years-of-brain-pickings/,,
39,2018-10-21 13:16:50,"Elizabeth Gilbert on Love, Loss, and How to Move Through Grief as Grief Moves Through You – Brain Pickings",https://www.brainpickings.org/2016/03/08/cry-heart-but-never-break/,,
38,2018-10-16 13:15:27,Make Time: How to Focus on What Matters Every Day,https://www.goodreads.com/book/show/37880811-make-time,,
37,2018-08-27 13:14:22,"First, We Make the Beast Beautiful: A New Story About Anxiety by Sarah Wilson",https://www.goodreads.com/book/show/34210334-first-we-make-the-beast-beautiful,,
36,2018-08-23 13:13:23,H.E.R. – 'Focus' | BET Awards 2018,https://www.youtube.com/watch/?v=JMNKvReY2dE,,
35,2018-08-23 13:11:47,Crying in H Mart | The New Yorker,https://www.newyorker.com/culture/culture-desk/crying-in-h-mart,,
34,2018-08-02 13:10:23,Daniel Caesar: NPR Music Tiny Desk Concert,https://www.youtube.com/watch/?v=PBKa-AAy_vo,,
33,2018-07-05 13:08:43,Telling Is Listening: Ursula K. Le Guin on the Magic of Real Human Conversation – Brain Pickings,https://www.brainpickings.org/2015/10/21/telling-is-listening-ursula-k-le-guin-communication/,,
32,2018-07-03 13:07:43,Queer Eye's Stars Take a Friendship Test,https://www.youtube.com/watch/?v=GqHso7CwmaQ,,
31,2018-06-28 13:05:55,Max Richter In Concert: Reimagining Vivaldi,https://www.youtube.com/watch/?v=Ebm69gW9UlI,,
30,2018-06-24 13:04:45,Snatches: Moments from Women's Lives - Ep. 3 - Bovril Pam,https://www.bbc.co.uk/programmes/b0b7rkk9,,
29,2018-06-04 14:25:56,Moonlight | Live Orchestra | Official Featurette HD | A24,https://www.youtube.com/watch/?v=4isV4dZLJn4,,
28,2018-06-04 14:22:54,Musician Explains One Concept in 5 Levels of Difficulty ft. Jacob Collier & Herbie Hancock | WIRED,https://www.youtube.com/watch/?v=eRkgK4jfi6M,,
27,2018-05-27 14:21:37,#IAm Sandra Oh | CAPE (Coalition of Asian Pacifics in Entertainment),https://www.youtube.com/watch/?v=vgdLZbzES2w,,
26,2018-05-20 14:20:24,City of the Sun - Intro (The xx Cover),https://www.youtube.com/watch/?v=yIdKbSeAueY,,
25,2018-05-20 14:17:02,Daring Greatly by Brené Brown,https://www.goodreads.com/book/show/13588356-daring-greatly,,
24,2018-05-14 12:28:00,Ethics & Power: Understanding the Role of Shame in UX Research | Vivianne Castillo | UXRConf 2018,https://www.youtube.com/watch/?v=Bsk_Y_Spz38,,
23,2018-05-05 12:25:50,Slave to Fashion by Safia Minney,https://safia-minney.com/books/,,
22,2018-04-23 12:17:26,RiverBlue,http://riverbluethemovie.eco/,,
21,2018-04-15 12:15:28,Women of Silicon Valley | 10 Questions with Adi Barreto,https://medium.com/@WomenOfSiliconValley/10-questions-with-adi-barreto-9ac4227b555c,,
