book_id,record_id,post_title,post_date,read_title,read_subtitle,read_authors,read_date,read_year,read_rating,read_link,read_isbn,read_publisher,read_image
18,,Feck Perfuction: Dangerous Ideas on the Business of Life by James Victore,2019-05-05 15:31:00,Feck Perfuction,Dangerous Ideas on the Business of Life,James Victore,2019-03-05,2019,,goodreads.com/book/show/40605526-feck-perfuction,9781452166360,Chronicle Books,
17,,Not Here by Hieu Minh Nguyen,2019-05-04 15:26:22,Not Here,,Hieu Minh Nguyen,2018-04-10,2018,,goodreads.com/book/show/36477382-not-here,9781566895095,Coffee House Press,
16,,The Meaning of Life by The School of Life,2019-04-26 15:23:00,The Meaning of Life,,,2019-02-27,2019,,https://www.goodreads.com/book/show/42195298-the-meaning-of-life,9780995753549,The School of Life,
15,,The Path Made Clear by Oprah (Editor),2019-04-19 15:18:00,The Path Made Clear,Discovering Your Life's Direction and Purpose,Oprah Winfrey,2019-03-26,2019,,https://www.goodreads.com/book/show/40607235-the-path-made-clear,9781250307507,Flatiron Books,
14,,What I Wish I Knew When I Was 20 by Tina Seelig,2019-04-19 15:14:00,What I Wish I Knew When I Was 20,,Tina Seelig,2009-04-19,2009,,goodreads.com/book/show/6081261-what-i-wish-i-knew-when-i-was-20,9780061735196,HarperOne,
13,,It Doesn’t Have to Be Crazy at Work by Jason Fried &  David Heinemeier Hansson,2019-02-26 15:12:00,It Doesn't Have to Be Crazy at Work,,Jason Fried; David Heinemeier Hansson,2018-10-02,2018,,goodreads.com/book/show/38900866-it-doesn-t-have-to-be-crazy-at-work,9780062874788,Harper Business,
12,,How to Develop Emotional Health by Oliver James (The School of Life),2019-02-23 15:10:00,How to Develop Emotional Health,The School of Life,Oliver James,2015-04-01,2015,,goodreads.com/book/show/20621101-how-to-develop-emotional-health,9780230771710,Pan Macmillan,
11,,How to Travel by The School of Life,2019-02-12 15:07:00,How to Travel,,,2018-10-18,2018,,goodreads.com/book/show/42419824-how-to-travel,9781999917968,The School of Life Press,
10,,On Mental Toughness by Harvard Business Review,2019-02-07 15:07:38,HBR's 10 Must Reads on Mental Toughness,,,2018-01-09,2018,,https://www.goodreads.com/book/show/36133333-hbr-s-10-must-reads-on-mental-toughness-with-bonus-interview-post-trau,9781633694361,Harvard Business Review Press,
9,,On Women and Leadership by Harvard Business Review,2019-02-03 16:43:00,HBR's 10 Must Reads on Women and Leadership,,,2018-11-13,2018,,https://www.goodreads.com/book/show/41724008-hbr-s-10-must-reads-on-women-and-leadership-with-bonus-article-sheryl,9781633696723,Harvard Business Review Press,
8,,How to Change the World by John-Paul Flintoff,2019-01-26 16:41:00,How to Change the World,The School of Life,John-Paul Flintoff,2012-05-12,2012,,https://www.goodreads.com/book/show/14478551-how-to-change-the-world,9781447202325,MacMillan,
7,,Company of One by Paul Jarvis,2019-01-24 16:32:00,Company of One,Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,2019-01-15,2019,,https://www.goodreads.com/book/show/37570605-company-of-one,9781328972354,Houghton Mifflin Harcourt,
6,,Harvard Business Review Guide to Getting the Right Work Done,2019-01-06 16:31:00,HBR Guide to Getting the Right Work Done,,,2012-10-02,2012,,https://www.goodreads.com/book/show/13586941-hbr-guide-to-getting-the-right-work-done?from_search=true&from_srp=true&qid=JVWMKazgri&rank=1,9781422187111,Harvard Business Review Press,
5,,The Courage to Be Disliked by Ichiro Kishimi & Fumitake Koga,2019-01-01 16:20:00,The Courage to Be Disliked,,Ichiro  Kishimi; Fumitake Koga,2019-01-01,2019,10,https://www.goodreads.com/book/show/41954904-the-courage-to-be-disliked,9781982107024,Simon & Schuster,
4,,Dark Matter by Blake Crouch,2017-05-27 14:08:00,Dark Matter,,Blake Crouch,2016-07-26,2016,,https://www.goodreads.com/book/show/27833670-dark-matter,9781101904220,Crown,
3,,Mr. Penumbra's 24-Hour Bookstore by Robin Sloan,2014-06-23 14:17:03,Mr. Penumbra's 24-Hour Bookstore,,Robin Sloan,2012-10-02,2012,9,https://www.goodreads.com/book/show/13538873-mr-penumbra-s-24-hour-bookstore,9780374214913,"Farrar, Straus and Giroux",
2,,Letters to a Young Poet by Rainer Maria Rilke,2014-03-23 23:29:00,Letters to a Young Poet,,Rainer Maria Rilke; Mark Harman,2011-04-18,2011,10,https://www.goodreads.com/book/show/9688875-letters-to-a-young-poet,9780674052451,Harvard University Press,
1,,Sum: Forty Tales From The Afterlives by David Eagleman,2011-05-05 14:13:00,Sum,Forty Tales From The Afterlives,David Eagleman,2009-02-07,2009,10,https://www.goodreads.com/book/show/6310840-sum,9780670069842,Viking,
